0,-227,97,17297,396,-849,-265,4,272,16872,29,203,40
10,-233,105,17289,399,-841,-271,-68,240,17044,22,179,41
20,-227,96,17286,397,-837,-267,16,224,16924,41,192,27
30,-218,106,17309,397,-842,-265,-44,232,16972,50,214,20
40,-224,88,17301,394,-859,-269,-80,224,16836,34,178,31
50,-226,94,17296,399,-859,-269,36,208,16936,36,211,33
60,-228,98,17304,402,-848,-271,-56,228,16876,53,225,51
70,-222,102,17311,410,-850,-276,-88,220,16904,31,212,21
80,-232,95,17304,393,-844,-262,-44,188,16944,25,228,25
90,-221,84,17301,393,-840,-260,-24,280,16924,2,210,46
100,-213,96,17292,384,-852,-264,-4,244,16920,53,202,36
110,-228,90,17296,393,-852,-269,-20,264,16936,18,216,27
120,-240,97,17315,391,-845,-263,-16,200,16940,17,184,43
130,-228,91,17296,398,-855,-266,-88,184,16952,44,215,25
140,-219,93,17309,397,-848,-277,-60,288,16872,6,195,2
150,-223,94,17297,409,-836,-281,-152,200,16924,44,216,36
160,-214,94,17308,410,-838,-273,-28,240,16988,24,179,41
170,-223,97,17297,396,-849,-263,-32,232,16940,26,198,31
180,-218,92,17295,399,-848,-270,-56,288,16972,17,206,47
190,-229,101,17286,397,-860,-259,-16,212,16912,4,214,25
200,-231,100,17310,397,-852,-266,-52,164,16976,-2,195,20
210,-220,91,17304,396,-853,-264,-84,256,16924,31,213,22
220,-229,100,17314,406,-837,-275,-68,172,17004,12,203,24
230,-219,100,17300,408,-851,-270,-40,240,16788,-7,214,33
240,-231,100,17311,402,-845,-274,-68,212,16952,35,214,40
250,-237,98,17294,397,-851,-271,-8,224,16940,-4,172,54
260,-238,91,17309,401,-831,-274,-80,248,16912,2,215,18
270,-214,103,17312,390,-838,-267,-28,232,16948,51,215,5
280,-219,91,17288,396,-837,-273,-64,260,17016,2,198,36
290,-236,90,17301,393,-854,-270,-72,176,17008,7,244,29
300,-223,86,17271,409,-853,-271,-68,268,17020,8,229,42
310,-222,78,17293,392,-843,-267,-52,276,16868,-18,219,19
320,-213,90,17302,397,-845,-272,56,248,17064,28,222,13
330,-227,96,17307,407,-820,-273,-72,192,17044,-20,213,40
340,-223,80,17306,396,-848,-270,-56,220,16920,34,212,20
350,-225,93,17305,392,-840,-267,-84,164,16872,19,235,21
360,-211,88,17305,394,-857,-262,-76,192,16976,35,205,25
370,-236,97,17302,396,-857,-269,-40,160,16952,26,226,-5
380,-220,93,17290,402,-852,-275,-12,256,16896,36,201,33
390,-203,101,17295,392,-843,-271,-8,252,16820,41,221,18
400,-218,81,17286,390,-832,-273,-84,224,16960,31,200,39
410,-239,95,17303,387,-843,-272,-32,248,16944,37,182,39
420,-219,81,17297,400,-837,-279,-36,192,16976,31,182,32
430,-214,89,17294,405,-840,-271,-40,164,16940,6,190,46
440,-231,91,17311,399,-853,-261,-44,212,16972,7,254,45
450,-225,100,17312,383,-850,-259,-52,172,16932,36,191,33
460,-225,93,17309,379,-858,-262,-48,220,16920,22,231,22
470,-225,99,17306,389,-863,-267,-60,252,16956,56,204,12
480,-211,99,17318,404,-837,-277,24,168,16852,22,195,25
490,-234,94,17307,399,-838,-271,-44,180,17016,25,227,19
500,-228,87,17297,397,-839,-270,-16,256,16976,27,219,3
510,-223,82,17317,403,-849,-269,-124,216,16920,7,245,29
520,-222,93,17312,411,-837,-275,20,172,17012,37,183,31
530,-221,84,17300,405,-856,-268,-20,148,16948,10,179,28
540,-212,97,17305,401,-830,-273,-44,252,16856,-7,206,20
550,-210,82,17309,402,-851,-273,-28,236,17072,31,166,52
560,-221,94,17295,410,-827,-276,-40,200,17044,38,198,31
570,-224,90,17305,400,-855,-271,-28,176,16916,-5,197,63
580,-231,103,17306,405,-852,-274,-64,192,16932,47,190,15
590,-226,98,17318,394,-844,-272,-68,192,16992,18,198,31
600,-213,94,17304,401,-845,-276,-20,176,16932,35,202,10
610,-231,98,17297,399,-851,-275,20,196,16916,27,203,41
620,-224,90,17303,394,-844,-272,-64,188,16968,13,212,16
