0,-245,160,17353,506,-978,-358,-8,168,16976,-7,193,26
9,-226,159,17339,515,-983,-353,-68,248,16968,21,199,53
19,-225,169,17361,513,-967,-349,-76,212,16900,23,192,30
29,-233,155,17343,520,-962,-364,-56,168,16952,26,209,26
39,-230,172,17359,506,-973,-362,-40,260,16972,52,223,31
49,-223,174,17361,521,-964,-372,-36,188,16896,13,190,13
59,-236,160,17342,534,-969,-365,-48,184,16916,-4,196,42
69,-231,152,17362,525,-956,-369,-68,232,16880,45,195,28
79,-218,158,17338,516,-967,-352,-20,232,16968,28,189,48
89,-229,166,17368,765,-975,-354,-16,252,16932,4,215,55
100,-208,168,17354,514,-977,-360,0,264,17004,19,213,48
109,-233,161,17371,511,-965,-359,-56,188,16956,15,203,8
119,-239,163,17364,516,-973,-358,-20,216,17020,10,205,41
129,-241,148,17342,508,-975,-351,-40,240,16896,18,235,11
139,-237,161,17367,518,-962,-360,-52,316,17064,14,173,5
149,-232,162,17355,519,-968,-367,-48,224,16960,14,190,30
159,-234,165,17356,532,-959,-370,-56,200,16928,21,232,53
169,-225,168,17359,537,-974,-370,-24,160,16948,-2,196,40
180,-246,160,17368,533,-958,-371,-28,204,16924,14,208,6
189,-228,147,17377,529,-970,-358,20,128,16856,39,206,30
200,-227,156,17350,517,-985,-354,-12,200,16880,27,176,23
209,-224,153,17343,522,-975,-360,-96,148,16928,14,236,19
219,-225,157,17357,526,-971,-363,-44,212,17032,24,203,46
229,-223,173,17352,519,-978,-365,-76,208,17064,31,208,30
239,-231,163,17360,502,-973,-361,-20,220,16872,-9,188,48
249,-221,161,17353,514,-984,-362,-28,232,16984,32,215,36
259,-233,170,17363,517,-973,-356,-20,164,17008,9,214,28
269,-229,160,17363,513,-960,-360,-44,204,17000,-4,206,20
279,-231,166,17356,515,-963,-357,-16,228,16824,41,199,1
289,-226,142,17354,512,-969,-352,-108,160,16972,33,216,17
300,-227,158,17364,511,-981,-360,-44,272,16908,20,187,9
309,-233,167,17360,521,-968,-362,-76,200,16944,28,190,15
319,-226,152,17347,512,-965,-357,-72,204,17052,6,196,39
329,-234,166,17353,520,-971,-357,-20,272,17016,16,211,39
339,-234,166,17356,535,-958,-372,-32,216,16924,36,211,18
349,-220,167,17352,510,-983,-355,-52,200,16884,35,191,35
359,-229,169,17355,507,-976,-357,-24,208,16860,10,206,30
369,-231,162,17360,511,-967,-359,-88,224,16916,43,206,22
379,-226,148,17349,515,-968,-352,36,136,16988,21,181,31
391,-235,149,17357,522,-961,-361,-12,184,16800,9,216,46
401,-239,163,17332,525,-957,-364,-56,244,16900,-15,222,19
410,-230,159,17352,505,-979,-360,-24,208,16904,13,195,26
420,-232,167,17343,517,-964,-365,-16,140,17000,17,190,34
430,-224,162,17366,514,-967,-354,-64,172,16916,32,200,14
440,-201,168,17333,501,-977,-348,-52,100,17056,47,215,36
450,-244,157,17346,526,-978,-359,-120,136,17016,39,213,57
460,-253,174,17368,508,-974,-355,8,144,16828,1,203,43
470,-216,169,17339,507,-962,-357,-44,204,16860,2,177,57
480,-240,163,17336,500,-971,-341,-84,140,16852,89,256,23
490,-289,169,17282,528,-962,-362,124,248,17052,-34,184,43
501,-140,180,17413,537,-939,-362,-160,496,16948,54,272,134
510,-379,600,17277,526,-945,-331,-60,760,17004,-37,226,491
520,-277,673,17360,499,-943,-128,156,296,17092,-132,258,588
530,-53,302,17473,426,-928,81,0,168,16884,112,224,658
540,-240,221,17261,488,-945,169,-40,240,17100,-44,199,699
550,-296,225,17384,543,-964,234,104,80,16868,271,156,815
560,-164,93,17557,583,-973,268,-140,64,17200,-131,165,782
570,-342,7,17306,649,-987,337,88,120,16764,136,163,816
580,-183,-10,17451,463,-982,306,48,16,16992,-37,160,935
590,-243,86,17287,615,-981,356,-56,152,16836,31,176,966
601,-302,-17,17446,732,-978,494,-80,56,17100,28,219,1053
610,-203,-10,17328,575,-973,607,128,40,16888,26,224,1270
620,-137,-136,17320,586,-960,782,132,-220,16964,104,199,1511
630,-285,-123,17340,551,-964,950,-44,-124,16840,-36,216,1623
640,-284,32,17398,565,-940,1035,-116,64,17212,140,240,1697
650,-224,169,17346,543,-950,1077,16,284,16952,-112,207,1660
660,-223,311,17330,505,-966,1069,-12,220,17032,97,213,1612
701,-213,-165,17364,500,-921,1296,-52,-228,17008,-50,189,2185
710,-223,-387,17413,499,-953,1585,16,-412,17136,-112,202,2572
720,-295,-352,17233,431,-941,1883,4,-184,16732,-12,230,2773
730,-154,-204,17336,476,-972,2067,36,-172,16848,-130,209,2830
740,-111,115,17419,428,-972,2125,140,324,16988,-22,181,2952
750,-434,225,17405,504,-968,2202,-288,296,17216,-116,237,2959
760,-328,292,17388,446,-930,2207,-136,424,16932,-72,187,2808
801,-131,-447,17220,471,-931,1937,160,-496,16636,-46,214,3168
810,-40,-839,17298,500,-978,2438,320,-1120,17372,-77,123,3937
820,-400,-547,17330,519,-980,3018,-432,-84,16948,202,275,4277
830,-425,234,17496,632,-923,3328,-124,732,17004,-13,289,4097
840,-101,812,17341,538,-907,3212,244,908,17032,-125,265,3760
850,-150,639,17338,427,-925,2977,-268,756,16852,-3,198,3729
860,-442,423,17463,519,-943,2938,-28,264,16852,-139,244,3745
870,-128,284,17214,487,-937,2911,256,240,16716,196,218,3721
880,-235,169,17287,534,-960,2884,-212,452,16976,-94,244,3712
890,-344,412,17437,471,-960,2869,-12,544,17144,52,221,3614
901,-139,182,17353,485,-958,2830,84,324,16416,-153,169,3815
910,-128,-442,17206,402,-972,2963,136,-1052,17120,121,171,4401
920,-483,-377,17460,445,-991,3398,-40,-84,17272,233,163,4474
930,-127,-80,17338,704,-947,3555,-140,1056,16808,-24,186,4386
940,-304,1361,17230,534,-923,3469,-56,1124,18184,-136,100,3888
970,-242,474,17348,533,-978,2852,-216,568,16232,130,282,3410
980,-377,109,17397,470,-952,2658,52,-4,16500,-199,179,3169
