0,-117,239,17277,660,-837,-509,-20,200,16828,25,186,29
10,-101,232,17243,659,-839,-507,-44,204,16984,15,175,29
20,-111,234,17256,663,-833,-511,-92,140,16932,33,199,44
30,-112,229,17261,664,-844,-509,-4,216,16904,22,167,43
40,-103,225,17261,660,-832,-507,4,172,16864,23,210,59
50,-115,255,17266,659,-846,-499,16,188,16888,-1,188,62
60,-95,241,17273,655,-843,-498,-8,220,16944,62,186,59
70,-100,231,17277,647,-850,-505,-72,212,16952,3,185,33
80,-114,233,17268,647,-848,-495,4,156,16908,21,188,28
90,-100,239,17265,647,-843,-496,-8,160,16924,33,163,32
100,-93,238,17264,649,-858,-497,-48,196,16908,15,184,10
110,-110,234,17257,669,-852,-502,-68,172,16964,13,210,18
120,-113,227,17272,653,-857,-493,12,168,16916,26,179,62
130,-109,223,17268,637,-872,-488,-40,152,16980,28,212,30
140,-99,229,17257,647,-842,-502,-16,176,17000,43,179,38
150,-102,230,17269,656,-837,-507,68,220,16952,15,195,43
160,-106,232,17277,660,-832,-505,0,244,17004,29,151,58
170,-109,241,17263,654,-841,-501,-28,220,16976,5,192,29
180,-107,239,17257,655,-842,-503,-20,140,16968,13,182,61
190,-95,228,17249,667,-831,-510,-48,196,16872,27,178,65
200,-96,232,17262,652,-845,-503,-60,176,16884,19,191,41
210,-120,239,17257,652,-847,-496,-32,216,16944,14,155,23
220,-111,256,17258,665,-837,-502,-56,184,16940,31,217,15
230,-104,227,17261,658,-849,-502,-76,152,16900,59,188,-3
240,-88,234,17266,645,-861,-490,-20,196,16924,27,178,29
250,-104,238,17257,649,-859,-493,-36,204,16904,28,209,7
260,-117,236,17254,650,-850,-497,-52,256,16872,2,206,39
270,-105,235,17242,634,-863,-481,8,248,16948,39,170,38
280,-108,242,17257,644,-845,-493,0,164,16904,27,176,26
290,-107,231,17264,650,-853,-501,-56,164,16952,-3,197,4
300,-109,245,17265,667,-836,-506,-100,184,16856,46,202,50
310,-115,234,17252,661,-842,-514,-72,136,17028,30,178,53
320,-109,250,17267,661,-847,-502,-112,136,17032,27,200,7
330,-88,215,17268,667,-848,-507,-76,176,16864,37,195,6
340,-108,236,17265,647,-857,-500,-44,144,16976,14,201,49
350,-115,247,17280,654,-849,-505,-56,236,16980,31,187,22
360,-118,242,17261,653,-844,-507,-20,188,17008,30,194,35
370,-104,240,17286,665,-851,-506,-92,188,17012,16,185,-5
380,-107,243,17254,656,-850,-497,-56,236,16924,25,203,21
390,-98,242,17261,655,-844,-505,4,152,16888,-7,183,40
400,-92,230,17260,645,-836,-498,-24,148,16952,-8,229,13
410,-113,247,17267,656,-859,-498,-4,168,16916,10,199,33
420,-116,233,17266,663,-842,-507,4,172,16892,14,195,43
430,-91,248,17263,645,-859,-494,-60,216,17052,13,211,29
440,-108,233,17269,650,-877,-500,-36,180,16976,41,208,57
450,-97,252,17265,646,-838,-507,4,240,16944,1,170,6
460,-89,228,17273,646,-859,-498,-16,232,16928,-1,194,6
470,-103,239,17260,658,-848,-501,-20,220,16944,45,193,33
480,-95,239,17256,656,-835,-506,52,208,16840,28,191,27
490,-103,234,17264,660,-848,-499,-60,148,17036,45,215,37
500,-99,231,17259,657,-854,-507,-40,204,16900,21,194,45
510,-100,235,17270,670,-848,-518,-68,168,16892,38,195,31
520,-106,233,17241,664,-853,-504,-8,180,17020,49,177,25
530,-106,235,17251,666,-847,-507,-68,224,16900,30,202,44
540,-106,246,17257,660,-850,-506,-72,200,16964,61,190,15
550,-94,234,17266,659,-846,-509,12,148,16836,12,223,22
560,-90,237,17268,655,-848,-509,-12,148,17092,14,198,25
570,-101,234,17253,656,-856,-496,-12,200,16964,47,171,40
580,-107,235,17247,658,-852,-499,-12,208,16940,18,188,17
590,-112,236,17266,657,-852,-503,-44,156,17036,0,176,63
600,-99,245,17244,658,-841,-504,0,184,16876,30,208,19
610,-91,241,17251,664,-851,-504,-16,232,16912,11,167,49
620,-101,241,17271,651,-856,-504,-28,132,16972,-11,222,21
630,-97,234,17256,647,-850,-500,8,136,17016,50,142,34
640,-93,235,17254,641,-843,-497,-92,176,16988,65,215,14
650,-89,241,17236,656,-835,-506,-100,204,16956,41,180,17
660,-114,234,17266,652,-839,-508,-12,220,16944,25,204,33
670,-103,241,17266,656,-827,-505,24,228,16956,14,182,50
680,-109,235,17264,645,-838,-506,-40,224,17004,-5,190,12
720,-95,245,17262,645,-848,-502,-48,160,16912,30,183,38
730,-97,229,17247,648,-857,-502,-52,172,16972,35,183,35
740,-113,250,17262,653,-857,-501,-36,112,17032,15,217,22
750,-103,238,17275,661,-862,-499,-4,164,16900,13,184,27
760,-96,240,17267,669,-855,-506,-60,152,16896,8,197,-13
770,-94,232,17258,656,-862,-497,0,192,16992,23,203,-5
780,-97,234,17251,661,-846,-508,-48,188,16880,0,201,-15
790,-104,247,17289,648,-861,-492,-32,220,16908,37,188,18
800,-107,217,17262,653,-837,-508,-48,108,17036,4,213,22
810,-112,257,17259,683,-827,-516,-92,148,16944,23,193,44
820,-108,242,17258,678,-838,-520,-8,152,16924,8,185,69
830,-102,243,17260,666,-854,-506,-44,192,16832,-4,174,37
840,-101,232,17263,658,-852,-503,-28,208,16972,51,191,-7
850,-96,239,17280,666,-847,-512,-4,244,16968,17,176,16
860,-97,234,17262,646,-854,-493,0,156,16996,-6,179,42
870,-97,234,17277,646,-854,-497,-4,260,16904,40,197,14
880,-98,259,17262,651,-845,-501,36,196,16872,16,184,26
890,-103,246,17251,648,-859,-498,-64,152,16904,27,170,25
900,-96,236,17258,653,-854,-500,8,224,16928,32,176,49
910,-98,258,17252,638,-834,-492,-52,152,16904,21,196,31
920,-98,238,17269,646,-855,-497,-24,180,16992,6,212,23
930,-101,221,17259,671,-837,-513,-48,188,16968,3,205,28
940,-101,242,17263,658,-854,-503,-48,112,16948,40,199,41
952,-109,249,17289,638,-852,-495,-8,200,16928,29,202,9
961,-100,239,17265,650,-849,-514,-36,184,16992,33,169,33
971,-107,234,17253,663,-825,-515,-84,136,16904,47,188,38
981,-103,234,17287,652,-866,-494,-12,148,16924,37,206,15
991,-106,241,17249,648,-845,-500,4,232,16924,10,167,5
1001,-108,226,17276,647,-839,-496,-56,136,16940,26,224,18
1011,-106,230,17266,657,-836,-501,-44,216,16920,5,153,28
1021,-96,246,17261,662,-842,-501,24,180,16984,33,195,26
1031,-97,234,17254,659,-853,-508,-8,200,16904,18,223,36
1041,-103,240,17265,667,-851,-506,-32,176,16992,22,198,37
1081,-83,229,17263,657,-855,-503,28,168,16944,15,203,49
1091,-94,236,17252,660,-837,-509,-76,204,16904,15,231,-2
1101,-106,234,17270,669,-844,-509,52,248,16984,33,186,7
1111,-90,235,17258,658,-845,-501,-28,176,16932,32,227,20
1121,-109,232,17261,665,-856,-504,-52,212,16900,31,194,41
1131,-92,237,17260,639,-848,-494,0,180,16952,-2,200,1
1141,-110,228,17262,651,-853,-499,-12,116,16928,30,186,30
1151,-96,228,17252,649,-858,-499,-28,136,16968,6,178,32
1161,-99,243,17273,646,-860,-494,-56,252,16876,21,176,63
1171,-94,250,17263,649,-860,-494,-96,192,17008,-9,202,27
1181,-112,242,17257,653,-850,-502,-16,172,16972,29,179,36
1191,-102,234,17254,657,-852,-499,24,196,16896,15,199,16
1201,-91,219,17261,663,-845,-501,-24,172,17016,34,210,42
1211,-102,235,17263,654,-844,-499,-64,152,16920,-5,194,33
1221,-91,241,17264,659,-846,-499,-100,168,16948,31,197,8
1231,-105,230,17242,658,-852,-504,28,216,16968,41,184,30
1241,-89,233,17251,634,-857,-497,-88,176,16968,8,172,47
1251,-113,240,17264,650,-851,-506,-8,168,16956,-4,195,18
1261,-112,226,17252,649,-854,-503,4,200,16936,27,208,20
1271,-104,227,17249,651,-858,-498,-104,204,16976,22,191,1
1281,-101,228,17256,654,-844,-504,-16,232,16988,18,170,23
1291,-104,239,17257,652,-853,-498,-12,208,16856,13,180,14
1301,-111,238,17275,652,-843,-502,4,212,16912,15,166,9
1311,-86,245,17263,665,-842,-509,-24,184,17004,32,186,56
1371,-98,244,17260,667,-854,-506,-8,180,16964,30,209,25
1381,-97,235,17263,666,-849,-507,0,156,16992,10,213,29
1391,-96,236,17271,655,-853,-503,-84,152,16972,10,179,9
1401,-110,242,17239,660,-842,-504,28,180,16916,36,201,25
1411,-100,245,17266,650,-852,-501,48,104,16928,17,193,18
1421,-109,227,17249,651,-841,-504,-68,140,16872,20,167,42
1431,-100,240,17259,649,-859,-498,-12,212,16892,47,156,32
1441,-106,238,17265,649,-849,-495,-32,264,16956,30,181,37
1451,-101,235,17247,645,-858,-498,-8,100,16928,10,202,-7
1461,-105,230,17279,659,-853,-504,-60,220,16904,20,177,17
1471,-103,245,17242,658,-849,-501,-24,164,16864,15,199,32
1481,-98,235,17260,671,-842,-504,-60,208,16964,37,197,48
1491,-120,237,17264,669,-845,-511,-20,168,16984,10,213,30
1501,-95,245,17256,677,-838,-513,-92,172,17032,11,222,39
1511,-109,253,17287,659,-847,-508,-16,200,16924,12,221,2
1521,-115,240,17276,653,-860,-505,-8,208,16956,29,198,21
1531,-95,241,17264,648,-842,-491,52,232,16960,19,186,22
1541,-112,238,17258,658,-851,-499,24,152,16892,-1,167,39
1551,-116,248,17247,646,-855,-502,-12,136,17024,44,192,37
1561,-101,229,17254,646,-850,-500,-28,192,16996,27,215,24
1571,-95,225,17273,661,-848,-511,-60,136,16928,10,180,45
1581,-120,242,17264,653,-843,-505,-24,176,16948,17,205,18
1591,-91,242,17265,660,-846,-509,-40,216,16980,34,222,18
1601,-99,234,17269,650,-848,-501,-64,196,16828,53,201,4
1611,-103,234,17260,652,-849,-505,28,168,16992,19,210,62
1621,-102,239,17265,660,-842,-501,-28,204,16928,22,212,39
1631,-106,245,17256,668,-861,-500,12,252,16908,38,170,54
1641,-92,250,17272,655,-838,-504,-32,208,16944,4,211,24
1651,-96,234,17250,654,-839,-503,-36,204,16940,9,211,-8
1661,-103,235,17232,657,-835,-509,-68,224,16880,21,164,16
1671,-116,242,17268,651,-850,-503,0,248,16928,9,190,42
1681,-121,235,17264,640,-852,-487,-88,204,16968,25,204,50
1691,-110,248,17266,649,-834,-501,40,172,16912,51,181,49
1701,-85,228,17255,653,-848,-501,44,136,17068,5,196,14
1711,-103,219,17261,655,-847,-507,-52,232,16992,41,177,15
1721,-123,250,17255,651,-850,-497,-20,244,16948,24,191,40
1731,-108,238,17253,660,-849,-506,-16,200,16896,34,161,79
1741,-111,231,17267,656,-854,-506,-20,160,16948,25,171,7
1751,-92,237,17250,661,-852,-504,-56,128,16812,37,179,19
1761,-96,231,17258,665,-840,-509,-20,192,17048,18,197,33
1771,-95,244,17274,657,-859,-502,-48,184,16952,-8,193,57
1811,-98,229,17254,661,-843,-505,-56,212,16944,-4,205,1
1821,-88,232,17268,670,-847,-510,-64,200,17036,34,192,6
1831,-106,225,17263,650,-837,-499,32,148,17000,24,165,31
1841,-93,238,17259,658,-858,-503,-48,148,17060,37,170,0
1851,-104,238,17266,668,-851,-510,-4,116,16908,9,233,15
1861,-107,225,17256,668,-848,-511,-72,112,16932,2,181,39
1871,-91,231,17261,669,-839,-519,-104,124,16908,42,198,19
1881,-108,237,17285,661,-856,-503,-4,156,16988,43,171,53
1891,-107,243,17258,650,-839,-504,-68,148,16928,9,205,13
1901,-96,248,17262,640,-857,-490,-32,172,17016,21,190,14
1911,-102,239,17242,661,-851,-506,-40,160,16964,28,211,27
1921,-104,245,17267,657,-851,-505,-48,208,16940,12,169,14
1931,-93,231,17261,640,-841,-499,-52,152,16920,11,171,40
1941,-119,235,17257,665,-847,-511,-4,164,17028,13,195,46
1951,-106,223,17262,662,-845,-503,-28,236,16884,-8,179,15
1961,-91,227,17268,657,-839,-499,12,200,16904,11,181,6
2001,-106,247,17265,660,-842,-504,-12,196,17092,21,189,25
2011,-111,237,17262,661,-847,-497,-96,96,17020,10,161,41
2021,-95,240,17272,662,-854,-501,-32,164,16968,41,194,10
2031,-105,245,17258,658,-853,-502,-8,136,16836,30,196,9
2041,-96,243,17249,672,-834,-505,-56,260,17036,32,178,18
2051,-108,246,17251,676,-853,-510,-52,244,16892,41,174,38
2061,-107,235,17274,665,-856,-506,-12,200,16896,33,193,27
2071,-101,238,17263,660,-839,-510,-20,168,16992,55,148,45
2081,-98,235,17267,661,-851,-505,20,152,16844,30,199,44
2091,-119,239,17270,660,-852,-504,4,168,16952,26,205,-8
2101,-108,245,17264,657,-832,-509,12,184,16908,36,189,18
2111,-105,233,17272,648,-848,-499,-12,132,16992,12,191,30
2121,-106,239,17243,647,-867,-498,16,176,16964,25,179,39
2131,-107,230,17276,651,-842,-508,-36,108,16880,7,202,22
2141,-92,239,17252,649,-858,-503,-48,128,16964,43,197,43
2151,-112,220,17258,658,-844,-509,-8,200,17024,18,231,36
2161,-91,241,17272,662,-852,-501,-64,224,16832,11,171,-3
2171,-109,241,17264,666,-847,-511,-24,108,16928,35,204,27
2181,-98,239,17279,644,-849,-498,-48,184,17044,24,159,1
2191,-97,236,17267,652,-843,-508,56,188,16944,7,237,39
2201,-111,241,17268,649,-860,-500,16,204,16996,-12,179,26
2211,-110,243,17260,658,-870,-499,24,72,16968,26,194,46
2221,-92,221,17260,653,-859,-500,-28,268,16836,32,155,23
2231,-111,234,17257,652,-853,-497,-60,144,16948,38,178,18
2241,-114,240,17280,648,-853,-486,-76,132,16912,56,173,9
2281,-107,243,17280,653,-856,-499,-16,144,16832,18,173,8
2291,-100,231,17277,663,-865,-500,-40,168,17024,29,185,33
2301,-95,229,17267,655,-858,-507,-28,184,16936,7,196,37
2311,-108,241,17273,649,-847,-506,56,176,16912,20,207,55
2321,-115,233,17258,669,-861,-511,-72,144,16868,29,187,40
2331,-103,235,17266,647,-863,-496,-12,152,16972,-10,177,12
2341,-114,235,17274,671,-823,-509,-120,192,16924,42,192,18
2351,-97,244,17274,648,-853,-502,-96,148,16920,46,214,22
2361,-93,244,17237,633,-852,-494,-56,168,16908,19,156,24
2371,-90,242,17264,651,-846,-502,-52,196,17000,13,182,33
2381,-101,240,17265,656,-845,-498,20,176,16920,30,186,13
2391,-110,242,17263,659,-844,-506,-32,152,16932,58,187,40
2401,-105,254,17266,653,-844,-505,-44,204,16972,8,177,57
2411,-104,231,17261,661,-848,-494,-48,140,16872,40,203,16
2421,-110,243,17276,658,-854,-495,-8,184,16920,5,216,19
2461,-85,234,17258,650,-855,-506,-32,188,17024,31,183,68
2471,-111,230,17261,641,-849,-501,-60,104,16988,33,200,53
2481,-98,230,17260,647,-853,-499,-28,164,16948,24,204,34
2491,-111,233,17271,645,-851,-493,-76,196,17092,41,186,34
2501,-99,263,17263,663,-850,-505,-52,148,16944,35,195,49
2511,-104,246,17257,658,-858,-502,-8,192,16960,28,192,56
2521,-115,243,17266,644,-847,-498,-84,196,16928,-31,189,36
2531,-101,240,17268,646,-847,-500,72,232,16956,40,175,13
2541,-108,244,17261,657,-844,-503,-32,224,16944,0,194,22
2551,-96,231,17249,663,-844,-504,-48,200,17000,26,195,21
2561,-108,235,17259,668,-857,-515,-40,152,17004,40,165,-5
2571,-114,229,17256,644,-856,-501,-84,192,16940,28,182,24
2581,-101,235,17266,649,-842,-506,-112,216,16972,14,169,26
2591,-101,231,17272,650,-853,-505,-44,220,16876,40,187,30
2601,-105,253,17274,642,-858,-488,-68,124,16928,-1,208,10
2611,-103,236,17262,641,-848,-494,-68,176,16860,-4,209,26
2621,-104,247,17257,655,-842,-503,-60,176,16864,-13,179,30
2631,-104,239,17271,666,-845,-513,-48,168,17016,0,191,5
2641,-107,226,17262,669,-841,-509,-32,228,16836,21,175,50
2651,-108,234,17255,656,-842,-508,-40,192,17008,6,172,30
2661,-103,230,17260,646,-865,-495,20,136,16916,31,191,29
2671,-107,232,17266,645,-855,-492,-64,148,16900,23,193,25
2681,-110,234,17269,640,-858,-493,-32,124,17000,23,184,17
2691,-120,226,17255,651,-848,-502,8,128,17028,18,179,26
2701,-117,243,17264,643,-872,-491,-56,176,16912,31,203,12
2741,-115,236,17269,639,-858,-491,-4,176,16956,12,207,34
2751,-108,235,17259,651,-853,-495,0,208,16908,46,183,26
2761,-107,243,17275,642,-866,-494,-20,192,16944,29,202,37
2771,-99,238,17270,651,-842,-498,-76,196,16928,16,189,51
2781,-104,243,17254,642,-850,-496,-84,148,16952,11,191,5
2791,-107,239,17256,639,-863,-487,-52,196,16944,20,209,26
2801,-97,223,17268,659,-854,-503,-64,228,17120,-2,216,26
2811,-117,240,17258,651,-852,-504,-52,164,16904,40,190,40
2821,-110,232,17259,647,-855,-494,-24,212,16944,33,186,32
2831,-100,234,17274,658,-850,-501,16,188,16884,27,188,15
2841,-97,248,17269,646,-842,-506,-24,148,17028,-10,194,-8
2851,-102,248,17241,645,-845,-501,-80,196,16916,46,205,31
2861,-113,238,17269,658,-867,-502,-52,212,16900,33,203,30
2871,-109,240,17269,653,-854,-502,-40,164,16836,12,197,18
2881,-106,233,17234,648,-857,-499,-104,152,16980,23,185,29
2921,-110,228,17258,653,-850,-495,-24,172,16896,32,190,38
2931,-102,240,17282,660,-837,-513,-84,116,17016,26,189,24
2941,-100,225,17272,657,-848,-507,-52,120,17020,68,180,20
2962,-96,240,17264,645,-847,-490,-16,224,16896,-2,186,52
2972,-99,233,17255,646,-854,-498,-16,156,16844,33,197,23
2982,-82,232,17255,662,-855,-503,-56,168,16864,30,190,43
2992,-104,236,17259,647,-859,-489,-100,140,16852,15,212,24
3002,-112,236,17268,641,-852,-487,-60,160,16916,5,181,8
3012,-100,232,17271,647,-858,-497,36,160,16896,53,170,18
3022,-107,228,17242,660,-858,-499,-28,160,16836,49,193,45
3032,-115,245,17262,678,-859,-510,-4,164,16992,29,200,15
3042,-118,221,17264,652,-867,-495,-100,180,16844,19,230,35
3052,-109,233,17265,637,-860,-490,-52,236,17008,4,185,38
3062,-94,228,17243,645,-842,-496,4,304,16892,2,159,50
3072,-118,233,17269,655,-859,-501,-40,192,16936,35,186,36
3082,-108,224,17264,653,-853,-501,-4,220,17000,21,200,11
3092,-104,233,17250,642,-853,-495,-36,164,16936,34,169,39
3102,-110,235,17267,656,-849,-503,60,184,16920,45,190,40
3112,-109,230,17245,659,-854,-506,-24,212,16880,9,161,57
3122,-93,244,17253,661,-858,-501,-44,184,17040,-7,191,34
3132,-90,237,17273,660,-851,-495,4,200,16884,60,196,28
3142,-130,237,17266,656,-855,-504,-16,192,16948,6,154,56
3152,-100,234,17256,651,-860,-504,-84,116,16892,58,207,39
3162,-101,241,17271,657,-843,-506,-8,144,16912,29,178,29
3202,-99,219,17265,643,-880,-488,-16,204,16980,16,187,43
3212,-116,252,17265,659,-855,-503,-40,196,16880,29,174,36
3222,-112,234,17262,667,-845,-506,-64,192,16960,14,192,55
3232,-112,227,17279,662,-847,-500,0,196,16852,59,193,21
3242,-107,234,17260,658,-864,-503,-56,216,16912,1,192,6
3252,-108,250,17245,647,-865,-495,12,204,16888,23,190,66
